,flat_price,rooms,area,living_area,kitchen_area,floor,finishing,deal_type,house_age,wall_material,house_series,house_floors,elevator,latitude,longitude,center_distance
1108,28.5,2.0,67.0,33.0,18.0,21.0,Дизайнерский,Свободная продажа,2021.0,Монолитный,Серия неизвестна,23.0,есть,55.821113,37.591431,7.869954366004711
1109,49.99,4.0,90.4,53.6,15.0,7.0,Отсутствует,Свободная продажа,1996.5014386607377,Монолитный,Серия неизвестна,11.0,Неизвестно,55.763842,37.659901,2.957536061710767
1110,250.0,4.0,212.0,105.3,21.0,10.0,Дизайнерский,Свободная продажа,2002.0,Кирпичный,01-пз индивидуальный проект,10.0,есть,55.766106,37.611473,1.619075034322454
1111,36.7,2.0,73.3,30.0,20.0,2.0,Дизайнерский,Свободная продажа,2018.0,Монолитный,Серия неизвестна,15.0,есть,55.795444,37.526896,7.476311263472912
1112,8.3,1.0,32.2,18.7,6.7,8.0,Косметический,Свободная продажа,1971.0,Блочный,II-49,9.0,есть,55.601116,37.658482,16.99318098752483
1113,124.0,3.0,110.0,60.0,16.0,4.0,Не известно,Свободная продажа,1910.0,Кирпичный,Серия неизвестна,4.0,есть,55.74523,37.589329,1.9364275661089556
1114,8.3,1.0,34.7,18.754882337030025,9.0,2.0,Косметический,Свободная продажа,1971.0,Блочный,ii-18,12.0,есть,55.670986,37.723304,11.197714126572597
1115,10.5,1.0,35.0,14.5,7.5,11.0,Косметический,Свободная продажа,2000.0,Панельный,01-пз индивидуальный проект,16.0,есть,55.636346,37.539149,13.792103870858089
1116,34.65,2.0,63.0,31.2,14.8,5.0,Отсутствует,Свободная продажа,2022.0,Монолитный,Серия неизвестна,28.0,есть,55.701328,37.493057,9.653744171223055
1117,13.69,1.0,33.0,13.0,9.0,13.0,Не известно,Свободная продажа,2021.0,Монолитный,Серия неизвестна,24.0,есть,55.855361,37.559424,12.075084917224993
1118,41.0,2.0,65.2,31.0,12.9,7.0,Отсутствует,Свободная продажа,1949.0,Кирпичный,01-пз индивидуальный проект,10.0,есть,55.749435,37.582179,2.250809169404669
1119,68.0,3.0,90.3,64.0,10.0,7.0,Отсутствует,Свободная продажа,1929.0,Кирпичный,01-пз индивидуальный проект,8.0,есть,55.759355,37.613,0.8712645134969342
1120,5.900165,1.0,35.9,14.0,12.4,2.0,Отсутствует,Свободная продажа,2022.0,Монолитно-кирпичный,Серия неизвестна,3.0,Неизвестно,55.48956,36.92114,52.72342472097309
1121,9.4,1.0,35.0,19.3,7.6,6.0,Косметический,Свободная продажа,1973.0,Панельный,II-68-02,12.0,есть,55.720023,37.823951,13.43431322810555
1122,12.8,1.0,40.0,25.0,10.0,33.0,Отсутствует,Свободная продажа,2020.0,Монолитный,Серия неизвестна,37.0,есть,55.8085,37.7586,10.848854734168887
1123,35.0,3.0,80.0,50.12529182879378,13.041893539211703,2.0,Не известно,Альтернатива,1983.0,Кирпичный,01-пз индивидуальный проект,9.0,есть,55.790484,37.575648,5.0335378507353346
1124,213.40396,4.0,163.8,79.50650510204082,18.169964664310953,2.0,Требует ремонта,Свободная продажа,2012.0,Монолитный,01-пз индивидуальный проект,10.0,есть,55.738449,37.581236,2.7440793438049043
1125,270.0,5.0,207.0,124.0,20.0,5.0,С отделкой,Свободная продажа,1910.0,Монолитный,Серия неизвестна,6.0,Неизвестно,55.755246,37.597666,1.3108859809841007
1126,10.1,1.0,42.4,19.2,11.4,2.0,Не известно,Альтернатива,2021.0,Монолитный,Серия неизвестна,22.0,есть,55.613138,37.387541,21.182179119985946
